Fly,km,254
Drive,km,171
Bus,km,104
Train,km,41
Beef,g,60
Lamb,g,24
Cheese,g,21
Chocolate,g,19
Rice,g,4
Apples,g,0.4
LED lightbulb,hour,167
Halogen lightbulb,hour,811
Jeans,pair,33400
Cotton T-Shirt,item,2000
Polyester Dress,item,17000
